dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/da5ayi	06448b27-4c5c-4296-8ece-a87e124c4f4e	Wichita State University Collection		48
10.5281/zenodo.5169292	3efb1a4f-0515-49ba-9d61-b7c1b4326613	Some New Species Of Nemocerous Diptera From Guam	Johannse, O. A. (1946): Some New Species Of Nemocerous Diptera From Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum: 187-193, DOI: http://doi.org/10.5281/zenodo.5169292	17
10.15468/k0aett	323b0e80-5e4b-4cc4-936a-d93fc8cae9bc	C.P. Gillette Museum of Arthropod Diversity		4
10.15468/v86zwa	aea75e24-7003-4c32-b29c-1e0512af5f96	Dryinidae of the Oriental region (Hymenoptera: Chrysidoidea)	Xu, Zaifu, Olmi, Massimo, He, Junhua (2013): Dryinidae of the Oriental region (Hymenoptera: Chrysidoidea). Zootaxa 3614 (1): 1-460, DOI: http://dx.doi.org/10.11646/zootaxa.3614.1.1, URL: http://dx.doi.org/10.11646/zootaxa.3614.1.1	2
10.11646/zootaxa.4683.2.3	60161840-b9ca-420f-9ef4-c0918e409da6	Revision of the black fungus gnat species (Diptera: Sciaridae) described by W. A. Steffan from Micronesia	Broadley, Adam, Kauschke, Ellen, Mohrig, Werner (2019): Revision of the black fungus gnat species (Diptera: Sciaridae) described by W. A. Steffan from Micronesia. Zootaxa 4683 (2): 215-241, DOI: https://doi.org/10.11646/zootaxa.4683.2.3	4
10.15468/kyulwg	262f8270-f9c2-4bc6-a562-8ed71c0790e6	Stuart M. Fullerton Collection of Arthropods (UCFC), University of Central Florida	Song H, Johnson N (2018). Stuart M. Fullerton Collection of Arthropods (UCFC), University of Central Florida. Version 85.36. Museum of Biological Diversity, The Ohio State University. Occurrence dataset https://doi.org/10.15468/kyulwg accessed via GBIF.org on 2018-10-25.	1466
10.5281/zenodo.5159809	4b8ded0c-2d13-4692-88bc-11c60ca8c8dd	Aphididae and Aleurodidae Of Guam	Swezey, O. H. (1942): Aphididae and Aleurodidae Of Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 23-24, DOI: http://doi.org/10.5281/zenodo.5159809	5
10.5281/zenodo.5174000	557bdb7f-b592-4a14-a6a4-ea253697cf9a	Diptera, Tipulidae of Guam	Alexander, C. P. (1942): Diptera, Tipulidae of Guam. In: Insects of Guam I. Honolulu. Hawaii: Bernice P. Bishop Museum, Bulletin, 172: 195-198, DOI: http://doi.org/10.5281/zenodo.5174000	20
10.15468/wtdize	e4526ee9-1592-4764-8af1-c89621255f82	Guadeloupe_Insectes	PAVIS C, NUISSIER F (2021). Guadeloupe_Insectes. Version 10.1. INRA Antilles-Guyane. Occurrence dataset https://doi.org/10.15468/wtdize accessed via GBIF.org on 2021-08-12.	1
10.5281/zenodo.5164252	ddbdc4ea-a921-4961-b58d-4b28fed11e68	Coccidae of Guam	Fullaway, D. T. (1946): Coccidae of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum Bulletin 189: 157-162, DOI: http://doi.org/10.5281/zenodo.5164252	77
10.15468/kc9hyp	0ec927cf-325a-4d63-9499-d721c734463a	LACM Entomology Collection	Mertz W, Kung G, Xie W (2022): LACM Entomology Collection. v5.12. Natural History Museum of Los Angeles County. Dataset/Occurrence. http://ipt.vertnet.org:8080/ipt/resource?r=lacm_ento&v=5.12	4
10.5281/zenodo.5160233	16f6ef92-619b-417b-946c-22d9b1445e7d	Orthoptera And Related Orders Orthoptera And Related Orders Of Guam	Swezey, O. H. (1946): Orthoptera And Related Orders Orthoptera And Related Orders Of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum: 3-8, DOI: http://doi.org/10.5281/zenodo.5160233	128
10.15468/anyror	10e44c48-0839-4a20-86d5-f0e23ae2e366	Bee Biology and Systematics Laboratory	Ikerd H (2019). Bee Biology and Systematics Laboratory. USDA-ARS Pollinating Insect-Biology, Management, Systematics Research. Occurrence dataset https://doi.org/10.15468/anyror accessed via GBIF.org on 2022-06-02.	1
10.5281/zenodo.5159714	cbd6479d-ac43-4609-ab60-e69de966ed9c	Homoptera, Cercopidae of Guam	LALLEMAND, V. (1942): Homoptera, Cercopidae of Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 172: 17-18, DOI: http://doi.org/10.5281/zenodo.5159714	19
10.5281/zenodo.5173998	88488cba-2f64-4fbe-a0fa-ca99dd98ae55	Culicidae of Guam	Swezey, O. H. (1942): Culicidae of Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 199-200, DOI: http://doi.org/10.5281/zenodo.5173998	10
10.11646/zootaxa.4290.2.4	3937c7f9-d611-4ce1-be9d-3d615adb919c	A taxonomic revision of the Cardiocondyla nuda group (Hymenoptera: Formicidae)	Seifert, Bernhard, Okita, Ichiro, Heinze, Jürgen (2017): A taxonomic revision of the Cardiocondyla nuda group (Hymenoptera: Formicidae). Zootaxa 4290 (2): 324-356, DOI: https://doi.org/10.11646/zootaxa.4290.2.4	1
10.5281/zenodo.5160372	356a98ac-1526-4045-ae7f-52d08e753dfb	Bees of Guam	CockerellL, T. D. A. (1942): Bees of Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 188-190, DOI: http://doi.org/10.5281/zenodo.5160372	31
10.15468/nbiled	2c7e0e7d-190e-4d9e-9c37-8c9e1d12f52b	New ants (Hymenoptera: Formicidae) from Micronesia.	Clouse, R. M. (2007): New ants (Hymenoptera: Formicidae) from Micronesia. Zootaxa 1475: 1-19, URL: http://www.antbase.org/ants/publications/21309/21309.pdf	2
10.5281/zenodo.5160080	2930c6b8-746b-45ac-96c0-1fd19de653bb	Sphingidae Of Guam	Swezry, O. H. (1942): Sphingidae Of Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 39-40, DOI: http://doi.org/10.5281/zenodo.5160080	11
10.15468/95waq3	96404cc2-f762-11e1-a439-00145eb45e9a	Entomology Division, Yale Peabody Museum		4
10.5281/zenodo.5160243	9b2056ec-f71b-4ff8-b642-e7aed6aa0eeb	Isoptera of Guam	Light, S. F. (1946): Isoptera of Guam. In: Insects of Guam II. Bernice P. Bishop Museum: 9, DOI: http://doi.org/10.5281/zenodo.5160243	6
